LTG_ID,LTG_START,LTG_ZIEL,WIDERSTAND_R_SUM_OHM,REAKTANZ_X_SUM_OHM,NENNSTROM_MIN_A,ERSCHL_STROM_SUM_A,LAENGE_SUM_KM,BAUJAHR_MIN,QUERSCHNITT_MIN_MM2
NC71,UW-008978,ON-000456,1.4149,0.7866,285,17.2846,6.4120,1984,120
NC72,SA-012078,SA-000015,3.5748,2.0985,319,47.9256,17.3650,1989,150
NC74,SA-021091,SA-012078,2.9170,1.6442,285,36.5342,13.4660,1982,120
NC91,UW-008978,ON-000595,0.3716,0.3329,417,9.8175,2.9750,1994,240
NC92,UW-008978,ON-000595,0.3703,0.3318,417,9.7845,2.9650,1994,240
NC93,SA-021588,ON-000595,0.2102,0.2700,535,10.5300,2.7000,,400
ND04,UW-006077,SA-021628,2.5463,1.4816,285,33.6218,12.2280,1985,120
ND05,UW-006077,SA-020439,1.3911,0.8170,319,18.6488,6.7570,1991,150
ND06,UW-006077,SA-020439,2.0041,1.0488,285,21.9483,8.3880,1983,120
ND08,UW-006077,SA-021208,1.7779,1.5923,417,46.9795,14.2360,1987,240
ND0A,UW-006077,ON-024202,0.6530,0.5850,417,17.2425,5.2250,2006,240
ND0B,UW-006077,ON-003812,0.0020,0.0012,319,0.0276,0.0100,,150
ND22,UW-006077,SA-021208,3.3693,1.8171,285,38.9635,14.6660,1983,120
ND23,UW-006077,SA-021208,3.7961,2.1096,285,46.2997,17.1820,1986,120
ND31,UW-006077,SA-014340,4.7255,2.4258,285,49.9138,19.2720,1984,120
ND32,SA-021628,UW-006077,2.7871,1.6181,285,36.6606,13.3460,1984,120
ND33,UW-006077,SA-014340,3.8031,2.1232,285,46.7324,17.3080,1984,120
ND3A,SA-014340,ON-003543,0.0002,0.0001,319,0.0027,0.0010,,150
ND51,UW-006077,SA-021091,3.4042,1.9979,319,45.6477,16.5400,1990,150
ND52,SA-021208,SA-021091,2.5325,1.4143,285,31.1748,11.5420,1986,120
ND53,UW-006077,SA-021091,0.6248,0.9635,609,45.1704,10.2660,2009,500
ND61,UW-006077,SA-020682,1.2777,0.7498,319,17.1355,6.2090,1995,150
ND62,UW-006077,SA-020682,1.1978,0.6678,285,14.6908,5.4440,1985,120
ND63,SA-020682,SA-021350,1.3005,0.7639,319,17.4399,6.3190,1990,150
NE41,SA-000015,SA-014457,2.0519,1.3248,319,32.5891,11.1980,1988,150
NE42,UW-001911,SA-000015,3.2311,2.0332,319,50.1531,17.1340,1991,150
NF0A,UW-021152,ON-024183,0.0020,0.0012,319,0.0276,0.0100,,150
NG0A,UW-020918,ON-024179,0.0020,0.0012,319,0.0276,0.0100,,150
NG0B,UW-020918,ON-024180,0.0020,0.0012,319,0.0276,0.0100,,150
NG0C,UW-020918,ON-101486,0.0020,0.0012,319,0.0276,0.0100,,150
NG0E,UW-020918,ON-002079,0.0912,0.0817,417,2.4090,0.7300,,240
NH01,SA-020111,UW-021934,2.1891,1.2385,285,27.5701,10.1480,1985,120
NH0A,UW-021934,ON-024256,0.5438,0.4870,417,14.3616,4.3520,2003,240
NH0B,UW-021934,ON-024211,0.1380,0.2494,692,13.8561,2.7170,2006,630
NH0C,UW-021934,ON-024213,0.2135,0.3671,319,20.0964,3.9750,2006,150
NH0D,UW-021934,ON-024212,0.1380,0.2494,692,13.8561,2.7170,2006,630
NH11,UW-021934,SA-021149,0.1129,0.0662,319,1.5151,0.5490,1989,150
NH12,UW-021934,SA-021149,0.0692,0.0619,417,1.8282,0.5540,2003,240
NH13,SA-021707,SA-021149,2.0860,1.1041,285,23.3517,8.8700,1983,120
NH14,SA-021149,SA-021707,2.1487,1.1764,285,25.5288,9.5400,1987,120
NI1B,UW-000003,ON-000998,0.0001,0.0001,417,0.0033,0.0010,,240
NI1C,UW-000003,ON-000999,0.0001,0.0001,417,0.0033,0.0010,,240
NJ0A,UW-100072,ON-001712,0.0205,0.0121,319,0.2760,0.1000,,150
NJ0B,UW-100072,ON-001713,0.0205,0.0121,319,0.2760,0.1000,,150
NJ0C,UW-100072,ON-001714,0.0205,0.0121,319,0.2760,0.1000,,150
NN0A,UW-021135,ON-024208,0.0037,0.0058,609,0.2728,0.0620,2003,500
NN12,SA-021149,UW-021135,3.4572,1.9308,285,42.5507,15.7530,1981,120
NN21,UW-021135,SA-017416,1.9752,1.4264,319,30.1155,11.4400,1988,120
NN22,UW-021135,SA-017416,2.7739,1.4115,222,32.0315,10.6780,1965,150
NN23,UW-021135,SA-017416,2.8336,1.4971,243,25.4396,11.1710,1976,70
NN2A,SA-017416,ON-003813,0.0020,0.0012,319,0.0276,0.0100,,150
NN2B,SA-017416,ON-003819,0.0020,0.0012,319,0.0276,0.0100,,150
NN31,UW-021135,ON-003342,3.4976,1.7831,222,41.0749,13.3860,1964,150
NN32,UW-021135,ON-003342,3.8213,1.9688,243,30.5285,14.2840,1984,70
NN33,UW-021135,ON-000617,3.3757,1.7555,243,28.1865,12.8700,1974,70
NN34,ON-003342,ON-000617,0.7025,0.4125,319,9.4193,3.4130,1990,150
